NAME,B01003_001E,state
Alabama,5039877,01
Puerto Rico,3263584,72
Arizona,7276316,04
Arkansas,3025891,05
California,39237836,06
Colorado,5812069,08
Connecticut,3605597,09
Delaware,1003384,10
District of Columbia,670050,11
Florida,21781128,12
Georgia,10799566,13
Hawaii,1441553,15
Idaho,1900923,16
Illinois,12671469,17
Indiana,6805985,18
Iowa,3193079,19
Kansas,2934582,20
Kentucky,4509394,21
Louisiana,4624047,22
Maine,1372247,23
Maryland,6165129,24
Massachusetts,6984723,25
Michigan,10050811,26
Minnesota,5707390,27
Mississippi,2949965,28
Missouri,6168187,29
Montana,1104271,30
Nebraska,1963692,31
Nevada,3143991,32
New Hampshire,1388992,33
New Jersey,9267130,34
New Mexico,2115877,35
New York,19835913,36
North Carolina,10551162,37
North Dakota,774948,38
Ohio,11780017,39
Oklahoma,3986639,40
Oregon,4246155,41
Pennsylvania,12964056,42
Rhode Island,1095610,44
South Carolina,5190705,45
South Dakota,895376,46
Tennessee,6975218,47
Texas,29527941,48
Utah,3337975,49
Vermont,645570,50
Virginia,8642274,51
Washington,7738692,53
West Virginia,1782959,54
Wisconsin,5895908,55
Wyoming,578803,56
Alaska,732673,02
