NAME,B01003_001E,state,county
"Miller County, Arkansas",42588,05,091
"Mississippi County, Arkansas",39749,05,093
"Monroe County, Arkansas",6681,05,095
"Montgomery County, Arkansas",8571,05,097
"Nevada County, Arkansas",8228,05,099
"Newton County, Arkansas",7175,05,101
"Ouachita County, Arkansas",22317,05,103
"Perry County, Arkansas",10073,05,105
"Phillips County, Arkansas",15910,05,107
"Pike County, Arkansas",10182,05,109
"Poinsett County, Arkansas",22740,05,111
"Polk County, Arkansas",19348,05,113
"Pope County, Arkansas",63830,05,115
"Prairie County, Arkansas",8162,05,117
"Pulaski County, Arkansas",398949,05,119
"Randolph County, Arkansas",18733,05,121
"St. Francis County, Arkansas",22740,05,123
"Saline County, Arkansas",125724,05,125
"Scott County, Arkansas",9839,05,127
"Searcy County, Arkansas",7861,05,129
"Sebastian County, Arkansas",128448,05,131
"Sevier County, Arkansas",15797,05,133
"Sharp County, Arkansas",17597,05,135
"Stone County, Arkansas",12474,05,137
"Union County, Arkansas",38368,05,139
"Van Buren County, Arkansas",15936,05,141
"Washington County, Arkansas",251863,05,143
"White County, Arkansas",77395,05,145
"Woodruff County, Arkansas",6157,05,147
"Yell County, Arkansas",20195,05,149
"Alameda County, California",1651949,06,001
"Alpine County, California",1695,06,003
"Amador County, California",41029,06,005
"Butte County, California",209470,06,007
"Calaveras County, California",45995,06,009
"Colusa County, California",21895,06,011
"Contra Costa County, California",1161458,06,013
"Del Norte County, California",27293,06,015
"El Dorado County, California",192299,06,017
"Fresno County, California",1012152,06,019
"Glenn County, California",28623,06,021
"Humboldt County, California",135418,06,023
"Imperial County, California",179319,06,025
"Inyo County, California",18803,06,027
"Kern County, California",910433,06,029
"Kings County, California",152830,06,031
"Lake County, California",68139,06,033
"Lassen County, California",31177,06,035
"Los Angeles County, California",9848406,06,037
"Madera County, California",158790,06,039
"Marin County, California",258765,06,041
"Mariposa County, California",17060,06,043
"Mendocino County, California",90709,06,045
"Merced County, California",285597,06,047
"Modoc County, California",8646,06,049
"Mono County, California",13169,06,051
"Monterey County, California",435834,06,053
"Napa County, California",136070,06,055
"Nevada County, California",102452,06,057
"Orange County, California",3164063,06,059
"Placer County, California",412435,06,061
"Plumas County, California",19607,06,063
"Riverside County, California",2449909,06,065
"Sacramento County, California",1584047,06,067
"San Benito County, California",66056,06,069
"San Bernardino County, California",2187816,06,071
"San Diego County, California",3282782,06,073
"San Francisco County, California",836321,06,075
"San Joaquin County, California",787416,06,077
"San Luis Obispo County, California",281486,06,079
"San Mateo County, California",745100,06,081
"Santa Barbara County, California",443975,06,083
"Santa Clara County, California",1903297,06,085
"Santa Cruz County, California",266021,06,087
"Shasta County, California",181554,06,089
"Sierra County, California",2731,06,091
"Siskiyou County, California",43834,06,093
"Solano County, California",450824,06,095
"Sonoma County, California",485642,06,097
"Stanislaus County, California",552250,06,099
"Sutter County, California",98971,06,101
"Tehama County, California",65520,06,103
"Trinity County, California",15886,06,105
"Tulare County, California",475774,06,107
"Tuolumne County, California",54873,06,109
"Ventura County, California",838259,06,111
"Yolo County, California",217782,06,113
"Yuba County, California",83079,06,115
"Adams County, Colorado",524408,08,001
"Alamosa County, Colorado",16515,08,003
"Arapahoe County, Colorado",655709,08,005
"Archuleta County, Colorado",13730,08,007
"Baca County, Colorado",3460,08,009
"Bent County, Colorado",5524,08,011
"Boulder County, Colorado",328317,08,013
"Broomfield County, Colorado",75110,08,014
"Chaffee County, Colorado",19876,08,015
"Cheyenne County, Colorado",1732,08,017
"Clear Creek County, Colorado",9358,08,019
"Conejos County, Colorado",7536,08,021
"Costilla County, Colorado",3571,08,023
"Crowley County, Colorado",5734,08,025
"Custer County, Colorado",5073,08,027
"Delta County, Colorado",31353,08,029
"Denver County, Colorado",713734,08,031
"Dolores County, Colorado",2385,08,033
"Douglas County, Colorado",368283,08,035
"Eagle County, Colorado",55374,08,037
"Elbert County, Colorado",27152,08,039
"El Paso County, Colorado",736008,08,041
"Fremont County, Colorado",49394,08,043
"Garfield County, Colorado",62034,08,045
"Gilpin County, Colorado",5877,08,047
"Grand County, Colorado",15794,08,049
"Gunnison County, Colorado",17158,08,051
"Hinsdale County, Colorado",939,08,053
"Huerfano County, Colorado",6946,08,055
"Jackson County, Colorado",1422,08,057
"Jefferson County, Colorado",579715,08,059
"Kiowa County, Colorado",1356,08,061
"Kit Carson County, Colorado",7015,08,063
"Lake County, Colorado",7411,08,065
"La Plata County, Colorado",56088,08,067
"Larimer County, Colorado",363561,08,069
"Las Animas County, Colorado",14392,08,071
"Lincoln County, Colorado",5561,08,073
"Logan County, Colorado",21067,08,075
"Mesa County, Colorado",157316,08,077
"Mineral County, Colorado",799,08,079
"Moffat County, Colorado",13258,08,081
"Montezuma County, Colorado",26204,08,083
"Montrose County, Colorado",43272,08,085
"Morgan County, Colorado",29186,08,087
"Otero County, Colorado",18460,08,089
"Ouray County, Colorado",5024,08,091
"Park County, Colorado",17739,08,093
"Phillips County, Colorado",4491,08,095
"Pitkin County, Colorado",17119,08,097
"Prowers County, Colorado",11931,08,099
"Pueblo County, Colorado",168726,08,101
"Rio Blanco County, Colorado",6518,08,103
"Rio Grande County, Colorado",11394,08,105
"Routt County, Colorado",24990,08,107
"Saguache County, Colorado",6511,08,109
"San Juan County, Colorado",690,08,111
"San Miguel County, Colorado",8026,08,113
"Sedgwick County, Colorado",2346,08,115
"Summit County, Colorado",30857,08,117
"Teller County, Colorado",24774,08,119
"Washington County, Colorado",4839,08,121
"Weld County, Colorado",340711,08,123
"Yuma County, Colorado",9921,08,125
"Capitol Planning Region, Connecticut",969029,09,110
"Greater Bridgeport Planning Region, Connecticut",326296,09,120
"Lower Connecticut River Valley Planning Region, Connecticut",174983,09,130
"Naugatuck Valley Planning Region, Connecticut",452303,09,140
"Northeastern Connecticut Planning Region, Connecticut",95829,09,150
"Northwest Hills Planning Region, Connecticut",112848,09,160
"South Central Connecticut Planning Region, Connecticut",566803,09,170
