NAME,B01003_001E,state
Alabama,5108468,01
Alaska,733406,02
Arizona,7431344,04
Arkansas,3067732,05
California,38965193,06
Colorado,5877610,08
Connecticut,3617176,09
Delaware,1031890,10
District of Columbia,678972,11
Florida,22610726,12
Georgia,11029227,13
Hawaii,1435138,15
Idaho,1964726,16
Illinois,12549689,17
Indiana,6862199,18
Iowa,3207004,19
Kansas,2940547,20
Kentucky,4526154,21
Louisiana,4573749,22
Maine,1395722,23
Maryland,6180253,24
Massachusetts,7001399,25
Michigan,10037261,26
Minnesota,5737915,27
Mississippi,2939690,28
Missouri,6196156,29
Montana,1132812,30
Nebraska,1978379,31
Nevada,3194176,32
New Hampshire,1402054,33
New Jersey,9290841,34
New Mexico,2114371,35
New York,19571216,36
North Carolina,10835491,37
North Dakota,783926,38
Ohio,11785935,39
Oklahoma,4053824,40
Oregon,4233358,41
Pennsylvania,12961683,42
Rhode Island,1095962,44
South Carolina,5373555,45
South Dakota,919318,46
Tennessee,7126489,47
Texas,30503301,48
Utah,3417734,49
Vermont,647464,50
Virginia,8715698,51
Washington,7812880,53
West Virginia,1770071,54
Wisconsin,5910955,55
Wyoming,584057,56
Puerto Rico,3205691,72
