NAME,B01003_001E,state
Mississippi,2992333,28
Missouri,6083672,29
Montana,1032949,30
Nebraska,1896190,31
Nevada,2890845,32
New Hampshire,1330608,33
New Jersey,8958013,34
New Mexico,2085109,35
New York,19795791,36
North Carolina,10042802,37
North Dakota,756928,38
Ohio,11613423,39
Oklahoma,3911338,40
Oregon,4028977,41
Pennsylvania,12802503,42
Rhode Island,1056298,44
South Carolina,4896146,45
South Dakota,858469,46
Tennessee,6600299,47
Texas,27469114,48
Vermont,626042,50
Utah,2995919,49
Virginia,8382993,51
Washington,7170351,53
West Virginia,1844128,54
Wisconsin,5771337,55
Wyoming,586107,56
Puerto Rico,3474182,72
Alabama,4858979,01
Alaska,738432,02
Arizona,6828065,04
Arkansas,2978204,05
California,39144818,06
Colorado,5456574,08
Delaware,945934,10
District of Columbia,672228,11
Connecticut,3590886,09
Florida,20271272,12
Georgia,10214860,13
Idaho,1654930,16
Hawaii,1431603,15
Illinois,12859995,17
Indiana,6619680,18
Iowa,3123899,19
Kansas,2911641,20
Kentucky,4425092,21
Louisiana,4670724,22
Maine,1329328,23
Maryland,6006401,24
Massachusetts,6794422,25
Michigan,9922576,26
Minnesota,5489594,27
