NAME,B01003_001E,state
Wisconsin,5813568,55
Wyoming,577737,56
Puerto Rico,3195153,72
Mississippi,2986530,28
Missouri,6126452,29
Montana,1062305,30
Nebraska,1929268,31
Nevada,3034392,32
New Hampshire,1356458,33
New Jersey,8908520,34
New Mexico,2095428,35
New York,19542209,36
North Carolina,10383620,37
North Dakota,760077,38
Ohio,11689442,39
Oklahoma,3943079,40
Oregon,4190713,41
Pennsylvania,12807060,42
Rhode Island,1057315,44
South Carolina,5084127,45
South Dakota,882235,46
Tennessee,6770010,47
Texas,28701845,48
Vermont,626299,50
Utah,3161105,49
Virginia,8517685,51
Washington,7535591,53
West Virginia,1805832,54
Alabama,4887871,01
Alaska,737438,02
Arizona,7171646,04
Arkansas,3013825,05
California,39557045,06
Colorado,5695564,08
Delaware,967171,10
District of Columbia,702455,11
Connecticut,3572665,09
Florida,21299325,12
Georgia,10519475,13
Idaho,1754208,16
Hawaii,1420491,15
Illinois,12741080,17
Indiana,6691878,18
Iowa,3156145,19
Kansas,2911510,20
Kentucky,4468402,21
Louisiana,4659978,22
Maine,1338404,23
Maryland,6042718,24
Massachusetts,6902149,25
Michigan,9995915,26
Minnesota,5611179,27
