geoid,name,C17002001,"C17002001, Error",C17002002,"C17002002, Error",C17002003,"C17002003, Error",C17002004,"C17002004, Error",C17002005,"C17002005, Error",C17002006,"C17002006, Error",C17002007,"C17002007, Error",C17002008,"C17002008, Error"
05000US48165,"Gaines County, TX",21743,14,742,431,861,394,661,535,955,492,2645,985,1108,448,14771,1181
05000US48167,"Galveston County, TX",348957,276,19195,2129,19730,1845,11961,1771,11995,1756,21598,2510,7882,1552,256596,3936
05000US48169,"Garza County, TX",4057,214,134,103,435,218,300,279,279,247,99,88,316,203,2494,348
05000US48171,"Gillespie County, TX",26866,6,790,257,1759,554,712,456,632,311,2445,804,833,312,19695,1004
05000US48173,"Glasscock County, TX",1070,141,40,34,51,53,36,58,13,21,32,29,21,23,877,176
05000US48175,"Goliad County, TX",7001,42,266,125,379,158,411,276,387,239,680,365,421,306,4457,456
05000US48177,"Gonzales County, TX",19467,12,1011,362,1817,390,1373,500,1127,428,1596,665,1432,546,11111,832
05000US48179,"Gray County, TX",19414,99,992,262,2170,532,1046,349,1006,305,1733,517,801,247,11666,795
05000US48181,"Grayson County, TX",137271,194,5726,857,9554,1310,5195,1117,6920,1091,9297,1330,3950,749,96629,2162
05000US48183,"Gregg County, TX",120988,177,8658,1249,11937,1802,4462,1045,6568,1351,9177,1298,5004,1071,75182,2456
05000US48185,"Grimes County, TX",26739,680,1677,587,1886,539,885,357,1842,643,1994,643,704,436,17751,1161
05000US48187,"Guadalupe County, TX",176246,131,7335,1091,8175,1620,7478,1805,4508,879,7965,1396,4800,1088,135985,2492
05000US48189,"Hale County, TX",30231,56,2830,735,2901,1031,2036,721,2112,582,3299,752,1078,480,15975,1085
05000US48191,"Hall County, TX",2778,7,265,112,190,107,202,82,227,140,459,148,52,35,1383,160
05000US48193,"Hamilton County, TX",8101,34,495,173,994,345,182,94,420,172,645,268,318,204,5047,463
05000US48195,"Hansford County, TX",5109,9,233,113,163,132,469,261,372,211,422,192,62,62,3388,385
05000US48197,"Hardeman County, TX",3473,57,307,152,138,73,246,106,159,88,154,90,115,69,2354,232
05000US48199,"Hardin County, TX",56462,173,2573,619,4382,1091,2257,516,2206,692,3613,1036,1595,591,39836,1647
05000US48201,"Harris County, TX",4708367,2148,349088,11027,400393,12611,221989,8883,232153,9552,305528,9839,135963,7226,3063253,20322
05000US48203,"Harrison County, TX",67262,464,6045,1240,5646,906,2219,548,3129,837,4709,1098,3026,1149,42488,1969
05000US48205,"Hartley County, TX",3892,50,103,104,160,113,22,21,245,188,121,90,36,63,3205,220
05000US48207,"Haskell County, TX",5117,123,367,117,359,110,267,113,387,152,481,210,145,94,3111,252
05000US48209,"Hays County, TX",248452,818,15169,1506,14689,2273,8520,2110,10916,2098,11642,2012,7319,1368,180197,3776
05000US48211,"Hemphill County, TX",3261,15,60,51,53,68,25,25,113,95,424,182,184,134,2402,246
05000US48213,"Henderson County, TX",82249,106,4947,888,6720,1022,5219,1028,4360,921,5442,1069,2886,589,52675,1727
05000US48215,"Hidalgo County, TX",872043,488,102024,6240,135097,7454,65893,7107,55930,5081,71796,4994,31044,3444,410259,9913
05000US48217,"Hill County, TX",35747,67,2190,473,2895,536,1439,319,1882,374,3028,580,1251,351,23062,820
05000US48219,"Hockley County, TX",20844,80,1046,276,1582,416,876,375,1730,390,2346,514,586,275,12678,678
05000US48221,"Hood County, TX",63358,59,2076,576,3115,901,1877,657,1857,619,4025,924,860,364,49548,1208
05000US48223,"Hopkins County, TX",36750,110,2029,467,2473,624,2028,516,1904,544,2104,412,1350,376,24862,1159
05000US48225,"Houston County, TX",19283,89,1508,373,1626,449,1354,416,1293,372,1508,438,555,333,11439,679
05000US48227,"Howard County, TX",29500,401,1974,527,2471,633,1395,417,1224,356,1200,309,925,374,20311,949
05000US48229,"Hudspeth County, TX",2619,22,63,47,434,253,336,219,173,176,365,201,177,164,1071,297
05000US48231,"Hunt County, TX",101827,174,5639,806,7001,1177,5596,1124,4595,871,6834,931,2712,692,69450,2036
05000US48233,"Hutchinson County, TX",20194,24,1040,313,1300,391,659,302,886,357,1761,574,624,261,13924,787
05000US48235,"Irion County, TX",1432,183,51,46,56,56,44,29,58,48,58,47,61,61,1104,221
05000US48237,"Jack County, TX",7593,35,485,215,539,229,516,250,434,224,638,360,248,156,4733,417
05000US48239,"Jackson County, TX",14882,8,599,288,1505,516,793,430,552,241,857,342,452,320,10124,749
05000US48241,"Jasper County, TX",31610,108,3196,753,3836,749,1957,459,1519,470,2195,545,742,349,18165,1255
05000US48243,"Jeff Davis County, TX",1714,384,172,153,362,265,6,11,86,90,156,135,14,16,918,355
05000US48245,"Jefferson County, TX",238552,387,21247,2165,23511,2339,12411,2459,12497,1628,15574,1826,5581,870,147731,3365
05000US48247,"Jim Hogg County, TX",4543,184,326,153,1101,522,774,577,205,208,291,407,31,31,1815,388
05000US48249,"Jim Wells County, TX",38423,108,4608,1005,4312,858,1483,555,3292,1059,2521,770,2492,808,19715,1352
05000US48251,"Johnson County, TX",185709,247,10331,1805,9602,1319,5457,1272,8929,1715,12732,2155,6568,1280,132090,3609
05000US48253,"Jones County, TX",13935,168,693,232,1068,298,776,334,909,333,991,358,544,304,8954,608
05000US48255,"Karnes County, TX",11353,128,1482,522,937,327,435,272,526,249,532,255,395,235,7046,722
05000US48257,"Kaufman County, TX",158990,251,7866,1462,7553,1479,7158,1484,7164,1583,12776,2108,2713,645,113760,2849
05000US48259,"Kendall County, TX",46241,135,1804,551,549,238,2018,895,1040,460,2328,669,1074,603,37428,1161
05000US48261,"Kenedy County, TX",51,37,1,2,2,4,0,15,6,10,0,15,24,25,18,21
05000US48263,"Kent County, TX",670,113,34,28,22,18,3,5,4,5,69,69,24,25,514,137
05000US48265,"Kerr County, TX",51223,110,2324,354,3675,791,2569,642,2968,740,2697,563,1105,325,35885,1086
05000US48267,"Kimble County, TX",4289,46,219,168,426,180,108,77,409,169,290,144,28,44,2809,283
05000US48269,"King County, TX",189,70,29,26,0,15,26,43,0,15,0,15,31,22,103,48
05000US48271,"Kinney County, TX",2829,12,63,81,257,180,342,242,83,76,242,193,0,15,1842,318
05000US48273,"Kleberg County, TX",28876,329,3998,1079,4331,965,1369,531,761,377,2036,657,334,238,16047,1436
05000US48275,"Knox County, TX",3201,15,164,91,200,75,169,85,319,101,408,153,58,39,1883,219
05000US48277,"Lamar County, TX",49721,57,4016,820,5285,878,2118,476,2895,746,3204,658,777,290,31426,1284
05000US48279,"Lamb County, TX",12686,38,957,439,1066,297,851,325,856,287,808,281,352,195,7796,647
05000US48281,"Lampasas County, TX",22071,9,819,258,1203,337,1086,404,1370,461,1106,399,643,278,15844,750
05000US48283,"La Salle County, TX",5913,78,439,356,862,550,121,144,482,478,1211,593,56,87,2742,781
05000US48285,"Lavaca County, TX",20039,18,761,204,1131,340,781,357,1581,425,1396,434,451,148,13938,587
05000US48287,"Lee County, TX",17357,64,1005,454,1116,384,1256,659,1291,586,1033,496,326,203,11330,655
05000US48289,"Leon County, TX",15992,17,869,263,1432,477,734,341,752,363,1500,459,379,224,10326,662
05000US48291,"Liberty County, TX",92094,283,4902,1294,11379,2035,5284,1471,6005,1859,6083,1528,2933,1005,55508,2467
05000US48293,"Limestone County, TX",21445,49,1519,378,2635,543,734,207,1691,450,1974,532,759,391,12133,767
05000US48295,"Lipscomb County, TX",2902,17,240,93,154,68,212,109,129,85,184,109,62,42,1921,186
05000US48297,"Live Oak County, TX",9895,82,734,292,968,288,479,261,862,498,480,243,146,117,6226,551
05000US48299,"Llano County, TX",21723,103,765,285,1777,401,917,436,1293,432,1226,422,650,293,15095,680
05000US48301,"Loving County, TX",54,34,0,15,5,7,0,15,3,4,0,15,0,15,46,32
05000US48303,"Lubbock County, TX",302240,365,27222,2026,24776,2251,14340,1945,15503,2096,20182,2113,9037,1485,191180,3694
05000US48305,"Lynn County, TX",5602,17,379,126,601,224,554,225,285,116,273,109,231,144,3279,314
05000US48307,"McCulloch County, TX",7417,48,347,227,735,238,199,102,520,278,512,324,185,179,4919,492
05000US48309,"McLennan County, TX",254251,262,19524,1795,23983,2464,13773,1963,11691,1883,18024,2099,5822,1065,161434,3351
05000US48311,"McMullen County, TX",623,201,25,33,32,34,123,181,37,47,78,83,25,32,303,120
05000US48313,"Madison County, TX",11230,134,456,216,1049,330,938,351,408,224,844,349,123,109,7412,682
05000US48315,"Marion County, TX",9522,4,820,276,930,283,433,198,696,240,930,345,197,113,5516,449
05000US48317,"Martin County, TX",5164,38,204,147,215,167,19,30,338,306,550,397,539,270,3299,363
05000US48319,"Mason County, TX",3942,11,85,71,168,86,368,191,52,52,458,188,97,98,2714,261
05000US48321,"Matagorda County, TX",35898,64,4288,858,3528,893,1431,495,2174,805,2658,753,985,751,20834,1297
05000US48323,"Maverick County, TX",57332,106,4736,1178,8245,1478,4641,1233,3942,1160,5248,1860,1855,1159,28665,2356
05000US48325,"Medina County, TX",50054,195,2552,796,3089,916,1696,565,1919,677,2513,643,2156,839,36129,1582
05000US48327,"Menard County, TX",1920,10,90,81,315,153,10,18,35,35,145,86,0,15,1325,188
05000US48329,"Midland County, TX",169844,348,7668,1348,10380,2041,4739,1178,5299,1054,7846,1499,3106,968,130806,3136
05000US48331,"Milam County, TX",24754,29,1946,519,1961,475,521,308,1535,578,1655,461,895,420,16241,984
05000US48333,"Mills County, TX",4313,37,97,47,235,72,168,90,243,114,173,83,159,103,3238,225
05000US48335,"Mitchell County, TX",7561,46,372,180,627,234,502,293,575,333,318,189,158,142,5009,526
05000US48337,"Montague County, TX",20282,40,1567,441,1172,321,738,238,812,246,1960,483,485,221,13548,684
05000US48339,"Montgomery County, TX",650890,623,26081,3491,34364,3326,21865,3232,20563,2226,29926,2729,11554,1851,506537,6026
05000US48341,"Moore County, TX",21021,65,1377,580,1849,641,1146,476,1516,607,2710,805,835,454,11588,932
05000US48343,"Morris County, TX",11769,128,619,344,1366,293,418,171,766,247,1445,469,471,271,6684,645
05000US48345,"Motley County, TX",1267,155,9,9,114,59,55,29,49,47,157,103,116,85,767,143
05000US48347,"Nacogdoches County, TX",59757,160,6839,1061,6468,981,3417,692,3580,789,4046,1029,1288,380,34119,1293
05000US48349,"Navarro County, TX",52376,114,2867,611,5947,965,3083,744,3482,696,3922,921,1330,484,31745,1455
05000US48351,"Newton County, TX",12006,50,1325,362,1364,410,779,272,1245,354,639,262,315,287,6339,602
05000US48353,"Nolan County, TX",14228,56,1307,396,1372,347,1160,432,1160,430,1141,353,291,184,7797,609
05000US48355,"Nueces County, TX",345439,281,27953,2875,33070,2936,14339,1561,16831,2077,22978,2035,10925,1549,219343,4182
05000US48357,"Ochiltree County, TX",9757,49,648,338,868,401,894,373,572,426,800,441,290,195,5685,624
05000US48359,"Oldham County, TX",1704,210,150,88,151,88,36,26,84,103,93,54,60,40,1130,171
05000US48361,"Orange County, TX",84118,128,5952,1069,4711,957,4785,1112,3295,770,4579,1043,2315,831,58481,2142
05000US48363,"Palo Pinto County, TX",28639,19,1948,491,2920,574,1429,387,1414,444,2466,597,1237,483,17225,953
05000US48365,"Panola County, TX",22186,30,1093,349,1542,446,1117,387,924,254,2173,762,293,126,15044,964
05000US48367,"Parker County, TX",155939,297,5570,1123,6552,1326,4270,1005,4868,1129,6542,1308,3239,806,124898,2487
