geoid,name,B27010001,"B27010001, Error",B27010002,"B27010002, Error",B27010003,"B27010003, Error",B27010004,"B27010004, Error",B27010005,"B27010005, Error",B27010006,"B27010006, Error",B27010007,"B27010007, Error",B27010008,"B27010008, Error",B27010009,"B27010009, Error",B27010010,"B27010010, Error",B27010011,"B27010011, Error",B27010012,"B27010012, Error",B27010013,"B27010013, Error",B27010014,"B27010014, Error",B27010015,"B27010015, Error",B27010016,"B27010016, Error",B27010017,"B27010017, Error",B27010018,"B27010018, Error",B27010019,"B27010019, Error",B27010020,"B27010020, Error",B27010021,"B27010021, Error",B27010022,"B27010022, Error",B27010023,"B27010023, Error",B27010024,"B27010024, Error",B27010025,"B27010025, Error",B27010026,"B27010026, Error",B27010027,"B27010027, Error",B27010028,"B27010028, Error",B27010029,"B27010029, Error",B27010030,"B27010030, Error",B27010031,"B27010031, Error",B27010032,"B27010032, Error",B27010033,"B27010033, Error",B27010034,"B27010034, Error",B27010035,"B27010035, Error",B27010036,"B27010036, Error",B27010037,"B27010037, Error",B27010038,"B27010038, Error",B27010039,"B27010039, Error",B27010040,"B27010040, Error",B27010041,"B27010041, Error",B27010042,"B27010042, Error",B27010043,"B27010043, Error",B27010044,"B27010044, Error",B27010045,"B27010045, Error",B27010046,"B27010046, Error",B27010047,"B27010047, Error",B27010048,"B27010048, Error",B27010049,"B27010049, Error",B27010050,"B27010050, Error",B27010051,"B27010051, Error",B27010052,"B27010052, Error",B27010053,"B27010053, Error",B27010054,"B27010054, Error",B27010055,"B27010055, Error",B27010056,"B27010056, Error",B27010057,"B27010057, Error",B27010058,"B27010058, Error",B27010059,"B27010059, Error",B27010060,"B27010060, Error",B27010061,"B27010061, Error",B27010062,"B27010062, Error",B27010063,"B27010063, Error",B27010064,"B27010064, Error",B27010065,"B27010065, Error",B27010066,"B27010066, Error"
04000US38,North Dakota,763538,2047,190450,3106,167318,3940,115100,4808,13676,2594,21,52,32873,4045,5648,1923,0,174,16304,2758,3618,1383,11,27,49,41,2879,1050,0,174,9747,2043,6828,1425,179393,3536,150615,3794,115153,4382,16737,2039,461,471,13463,2160,4475,1152,326,230,15001,2564,6922,1813,0,174,846,469,1595,796,0,174,5638,1450,13777,2678,266769,3134,228350,4097,176907,5031,26789,2407,1933,715,16707,2380,4247,1449,1767,624,25178,2592,7338,1579,662,354,706,341,3421,832,1847,547,362,222,10842,1890,13241,2068,126926,1439,34827,2724,2166,605,233,180,32219,2692,0,174,209,247,91579,3010,110,96,16659,1841,40557,2902,4834,1023,0,174,2805,740,26614,2185,520,302
04000US39,Ohio,11616141,2970,2731679,7328,2394710,14937,1394294,21846,94634,7432,3188,1438,877385,22780,23428,4110,1781,1770,201774,11502,29791,3526,1244,714,8225,3009,10773,3418,970,999,150771,9722,135195,9706,2392178,9070,1966903,14091,1375474,17347,144012,7257,7977,1689,423250,11792,9995,2039,6195,1890,161251,8875,55123,4937,2380,1217,13863,2779,7867,1563,1517,815,80501,5695,264024,10698,4351230,6368,3657071,13894,2716052,19930,268293,11151,81129,4851,550127,14640,22786,2994,18684,2842,392018,11202,96141,5820,23157,3100,6470,1298,98227,4994,15297,2894,11636,2021,141090,8067,302141,10098,2141054,4011,869486,12557,72189,4411,8394,1741,786833,11991,358,275,1712,740,1260315,12396,1705,596,352545,9765,387012,8316,143120,5523,144,121,51289,3900,324500,8747,11253,1558
04000US40,Oklahoma,3967096,1955,1027030,2396,862770,7380,377695,9789,45761,3858,3276,1065,413593,10061,21095,2637,1350,897,87432,5762,12862,2410,386,266,5317,1454,7124,1586,775,431,60968,4161,76828,4952,849923,4298,622906,7981,414269,9969,57363,4065,4085,809,135141,6314,10060,1405,1988,703,59258,3683,19435,2439,879,428,3784,915,5148,1336,824,416,29188,2358,167759,6419,1433557,4177,1073867,10415,760792,11236,108621,4773,35757,2405,140066,5804,17428,2194,11203,1530,158704,6182,32846,2858,5606,915,5105,1206,30952,2627,9987,1496,4701,995,69507,4024,200986,6853,656586,1835,237669,5301,13855,1797,2793,704,219976,5467,171,172,874,386,414060,5214,425,213,93514,4446,124359,4443,39337,2334,148,159,22584,1925,133693,4242,4857,1111
04000US41,Oregon,4193025,967,877018,4049,777109,9367,437396,11897,37305,4742,586,419,295969,10596,5472,2127,381,400,73638,6251,9969,2277,650,582,1016,687,2796,1381,278,236,58929,5496,26271,4093,885646,6085,730245,8986,481214,9553,59387,4979,1761,865,182344,8710,3421,1335,2118,919,66508,5292,20852,2641,274,217,4829,1167,2744,1080,928,700,36881,4014,88893,5805,1615770,5072,1358926,11610,962742,14949,135697,7100,20153,2531,225449,9223,6570,1404,8315,2000,145163,7648,29227,3625,4804,1234,2875,696,30753,3086,4768,1543,5271,1261,67465,5135,111681,7200,814591,2290,307496,7261,21491,2682,3196,998,282065,6859,132,144,612,423,503644,7292,808,419,101333,4856,169354,6565,71464,4409,25,49,23291,2754,137369,5979,3451,1145
04000US42,Pennsylvania,12779387,1645,2807524,6830,2399968,17347,1367427,22854,129953,8037,4765,1911,885029,23090,12338,2738,456,474,260689,11647,39418,4380,2438,922,5631,1636,8435,2267,88,131,204679,11157,146867,11522,2596634,7795,2169469,14898,1533704,18774,196922,8091,8540,1785,417530,11673,8282,1515,4491,1138,179783,9037,65228,5167,3422,1067,11049,1886,4733,1188,992,550,94359,5985,247382,10108,4859268,5591,4111444,19196,3073402,24896,367230,11031,73841,4539,562646,12993,18141,2384,16184,2739,465381,12776,114648,7174,21382,2631,13065,1948,97567,5464,11341,2001,9862,1555,197516,9103,282443,11232,2515961,2884,888525,13824,76138,4349,9436,1574,801418,13122,539,353,994,506,1611723,13316,2576,926,416680,10703,559534,10963,184679,5871,309,245,39065,2824,408880,9353,15713,2739
04000US44,Rhode Island,1079737,932,220785,2161,189090,5898,111538,5497,11538,2625,376,430,63071,6495,2567,1019,0,246,24511,4884,4821,2735,209,275,676,593,1871,872,0,246,16934,3846,7184,2451,237852,3250,200795,5120,136440,5541,20753,2873,635,465,40227,4360,2127,730,613,782,18916,3278,7407,1928,280,344,1371,711,583,414,0,246,9275,2221,18141,3645,416298,2379,348421,5327,251808,6982,36090,4659,4869,1291,53207,4860,1732,708,715,411,46366,4502,11671,2246,2235,951,1022,668,12269,2594,1610,596,285,260,17274,2925,21511,2791,204802,1817,78156,4232,7987,1819,1035,679,69134,4227,0,246,0,246,125054,4726,285,253,27647,3126,36395,3188,18813,2751,38,62,3673,1164,38203,3756,1592,854
04000US45,South Carolina,5276214,3235,1214304,4925,1036819,11590,470748,13781,71017,7447,2177,1109,455742,13051,35567,6688,1568,1360,103273,8345,13141,2516,438,351,4808,1351,14552,4086,379,379,69955,6781,74212,7204,1041346,6888,784908,12107,536230,13395,96567,7825,3088,1306,125478,7481,19360,3300,4185,1454,85254,6681,28350,3402,221,274,4735,1578,8861,1898,1119,614,41968,4554,171184,8405,2002939,6184,1528077,11610,1093968,14027,211029,9415,38983,3864,139539,8048,33370,4270,11188,1802,245575,8998,63618,5129,10415,2057,5146,1302,40721,3703,14832,2781,5564,1193,105279,6424,229287,9051,1017625,2856,359183,9085,17168,2475,3787,1242,337500,9086,515,419,213,285,652955,9414,720,569,162691,7495,174014,6810,72138,4393,0,225,23582,3049,219810,8835,5487,1486
04000US46,South Dakota,900264,847,232993,2221,199174,4110,123822,5204,14601,1894,288,245,54909,3852,5238,1618,316,309,17441,2403,3075,1042,0,175,394,413,1999,982,179,192,11794,2280,16378,3044,179313,2639,139937,4015,103791,4778,18137,2447,520,354,14302,2178,2441,765,746,675,13364,1747,6134,1327,132,164,511,356,1106,747,100,132,5381,1240,26012,2903,325918,2653,261158,4761,198167,5592,36471,3015,4662,1174,15815,2277,3598,785,2445,658,33553,3201,10938,2061,970,467,1247,624,4705,1009,1830,748,267,202,13596,2394,31207,2691,162040,1328,55439,3337,3207,1083,361,210,51845,3287,26,34,0,175,105819,3346,278,269,14793,2169,45055,3069,9174,1489,20,30,4492,942,32007,2609,782,505
04000US47,Tennessee,7033220,3248,1645032,6420,1420603,14251,695022,14888,92700,8298,3648,1821,596507,18696,31962,5206,764,615,131574,9290,18224,3394,1717,894,4984,2135,13713,3211,2022,1299,90914,8114,92855,9062,1495217,9361,1162066,12281,819123,13432,142375,8526,4597,1360,176266,8772,14524,2564,5181,2047,99248,6380,32015,3996,1621,784,6153,1570,9067,1847,1402,1073,48990,4107,233903,10139,2671622,6603,2087193,16981,1546126,17698,239806,11635,53563,4706,208119,9008,23953,3228,15626,2499,264088,10476,58585,5060,13398,2202,7619,1890,54784,4161,12445,1923,6668,1396,110589,6101,320341,13002,1221349,4216,488054,12505,27300,2885,4014,973,455701,12480,109,210,930,463,725931,12517,873,487,158930,6625,227334,8632,91619,6160,78,99,30685,2705,216412,7433,7364,1556
04000US48,Texas,30020476,7920,7949408,10695,6544931,33493,3340203,41844,453322,18770,26853,5366,2581501,44910,136990,11982,6062,2024,461939,15862,94877,8585,2096,904,17604,3369,56066,6721,2971,1050,288325,12414,942538,27789,6710643,16117,4586605,33633,3397422,33601,577678,17605,17158,2857,499672,15073,69250,5563,25425,3478,371899,14344,143517,9096,4643,1763,16639,2763,36421,4886,1955,1049,168724,9900,1752139,27489,11256142,11899,8171623,36808,6295514,38800,1076173,23509,143198,7479,483150,13292,105597,6560,67991,6927,941968,19383,281573,12214,33525,3241,14688,2838,141457,7651,55519,4917,12008,2026,403198,12837,2142551,26782,4104283,6081,1772000,20852,134275,7123,34017,3268,1599020,20308,1760,823,2928,994,2252473,22030,6858,1718,589228,13040,544409,13050,357860,10432,529,330,83132,5024,670457,12978,79810,5172
04000US49,Utah,3391381,1489,989401,3520,861836,9488,618198,14127,96592,9348,345,241,134956,10305,11745,2682,0,206,61925,6411,14739,3060,407,278,850,800,6789,2009,36,65,39104,4582,65640,6749,837233,4760,689376,7980,534748,9416,95136,5756,847,529,52690,4250,4847,1563,1108,698,54686,4865,28002,3795,644,423,1759,937,4642,1645,0,206,19639,2811,93171,7268,1154287,3407,965691,8373,759366,10891,121295,7945,10037,1769,61862,4830,10629,1767,2502,1024,79643,4941,23153,2378,3043,955,1159,682,12258,1950,5895,1476,1608,637,32527,2934,108953,6590,410460,1782,180268,5019,17548,2157,1800,668,160781,4777,20,37,119,159,227675,5235,221,191,59549,3314,73731,4344,24040,2690,379,401,6645,1239,63110,3741,2517,975
04000US50,Vermont,642064,243,123995,1932,113904,2575,65923,3642,5347,1249,33,47,42206,3171,395,292,0,170,7548,1580,1111,601,158,206,0,170,353,307,0,170,5926,1499,2543,944,127675,2154,109798,2382,71130,3384,11968,1915,568,326,25197,3233,814,541,121,117,9197,1523,2737,999,34,57,1759,762,407,249,19,27,4241,1182,8680,1658,249960,1347,217252,2916,155899,4789,21973,2266,3483,1141,33772,2915,1336,566,789,391,22571,2138,4744,1183,481,217,406,258,7115,1283,492,409,749,391,8584,1390,10137,1701,140434,1026,46472,2497,3884,860,552,228,41996,2627,20,36,20,41,93641,2650,35,52,25881,2042,29799,2311,10716,1538,0,170,3106,727,24104,1938,321,236
04000US51,Virginia,8489257,5916,1997126,7457,1728509,13942,987896,18730,94289,7127,6241,2446,514162,18072,118022,8988,7899,2229,177032,11826,21825,2797,1658,850,2835,1134,41539,5601,7249,1727,101926,9727,91585,8366,1735350,10096,1409109,12549,992336,14825,116807,6271,6282,1753,232958,9779,51438,3762,9288,2050,133552,9077,39319,3381,1812,767,6306,1498,19410,2690,3025,799,63680,5442,192689,8589,3290523,8416,2688139,13937,1987725,19065,234163,8697,52530,4407,295398,10834,96929,6280,21394,2920,355946,11472,67634,4681,12113,1744,6914,1452,39998,3627,47868,3882,13033,2180,168386,9036,246438,10633,1466258,3882,515838,10881,52221,3331,8632,1602,453251,10978,676,432,1058,653,937653,10969,2556,730,250003,8309,257282,7706,73826,4851,425,310,21865,2783,331696,8134,12767,2285
04000US53,Washington,7693927,4296,1741764,5278,1540809,11388,848803,16666,73944,6980,3711,1827,568959,16086,44884,5823,508,466,143204,8785,19932,3277,876,520,4139,1345,14451,2879,929,789,102877,7799,57751,7078,1677252,6958,1390084,11536,992638,13820,103610,6140,4516,1436,264707,10223,20822,2420,3791,1234,118154,6882,32686,3870,1123,627,8286,1880,10386,1901,1005,683,64668,4836,169014,8733,2960486,5721,2451154,15198,1867136,17926,199879,8929,30080,3800,310295,11221,31647,3282,12117,1776,264561,10075,64445,6002,6434,1366,4447,1025,40292,3503,18648,2298,5971,1413,124324,6777,244771,10001,1314425,2641,494132,9865,50855,3912,6095,1292,435984,9905,324,269,874,579,810766,9614,1852,861,204151,7771,245698,8083,92747,5137,416,333,23245,2474,242657,6768,9527,1763
04000US54,West Virginia,1736140,1015,375941,3133,332739,5371,167800,7209,12578,2394,690,397,147446,7412,4007,1423,218,306,31784,3955,6455,1859,85,100,545,356,747,531,66,89,23886,3418,11418,2391,331649,3705,267025,5151,173552,5250,17142,2624,1064,564,71392,4451,3297,1289,578,358,27431,3019,7582,1801,280,305,2586,1043,567,377,262,298,16154,2332,37193,3497,657365,3354,524144,7503,361352,8475,27981,2485,19536,2650,107709,6923,4572,1304,2994,875,80023,5942,14898,2368,5865,1217,1980,725,20572,2926,2060,808,2442,798,32206,3189,53198,4470,371185,1559,123770,5941,6697,1449,318,168,115878,5832,292,358,585,373,246507,6028,71,86,81711,4267,50463,3676,27824,2671,0,204,11805,1749,74633,3714,908,486
04000US55,Wisconsin,5851267,721,1325166,4851,1151044,8839,739352,13267,47713,4210,1122,664,353000,12140,9656,1921,201,162,119884,6143,22265,3701,495,341,1807,700,3505,1202,314,275,91498,5621,54238,5349,1197673,6130,998411,8918,742612,11323,85130,5221,2809,845,160149,7510,5560,1339,2151,621,94415,6007,43856,5225,1224,672,5839,1177,2536,751,589,268,40371,3455,104847,5884,2221149,4954,1896971,11146,1466907,12368,180872,7597,23137,2185,208271,8026,10691,1659,7093,1396,203833,8941,64728,5122,6958,1133,5334,1183,44508,3538,5014,994,3676,784,73615,5216,120345,6280,1107279,2922,425839,7358,26232,2162,3572,911,395185,7001,24,30,826,415,676706,7453,817,517,137450,5858,284185,6573,70469,4054,16,27,26898,1883,156871,5701,4734,1125
04000US56,Wyoming,573746,1035,136561,1784,114591,3570,65986,4232,9147,2528,512,526,36854,4293,2092,790,0,208,12121,2503,2093,1004,0,208,316,291,1455,917,0,208,8257,2057,9849,2788,115854,2470,83998,3568,60980,3717,12060,1930,19,31,8256,1655,2323,818,360,334,8789,1572,4024,1409,33,42,138,158,927,607,0,208,3667,822,23067,3140,211603,2225,163213,3651,124837,5121,24892,3379,3227,993,6864,1489,2202,718,1191,632,20370,2146,5261,1279,1084,574,416,446,2682,817,810,415,74,128,10043,1599,28020,2985,109728,1143,40678,2998,2605,1020,288,247,37641,3124,104,131,40,69,68866,2981,217,220,13951,1820,26973,2181,3914,1061,0,208,3301,784,20510,1962,184,176
