geoid,name,B27010001,"B27010001, Error",B27010002,"B27010002, Error",B27010003,"B27010003, Error",B27010004,"B27010004, Error",B27010005,"B27010005, Error",B27010006,"B27010006, Error",B27010007,"B27010007, Error",B27010008,"B27010008, Error",B27010009,"B27010009, Error",B27010010,"B27010010, Error",B27010011,"B27010011, Error",B27010012,"B27010012, Error",B27010013,"B27010013, Error",B27010014,"B27010014, Error",B27010015,"B27010015, Error",B27010016,"B27010016, Error",B27010017,"B27010017, Error",B27010018,"B27010018, Error",B27010019,"B27010019, Error",B27010020,"B27010020, Error",B27010021,"B27010021, Error",B27010022,"B27010022, Error",B27010023,"B27010023, Error",B27010024,"B27010024, Error",B27010025,"B27010025, Error",B27010026,"B27010026, Error",B27010027,"B27010027, Error",B27010028,"B27010028, Error",B27010029,"B27010029, Error",B27010030,"B27010030, Error",B27010031,"B27010031, Error",B27010032,"B27010032, Error",B27010033,"B27010033, Error",B27010034,"B27010034, Error",B27010035,"B27010035, Error",B27010036,"B27010036, Error",B27010037,"B27010037, Error",B27010038,"B27010038, Error",B27010039,"B27010039, Error",B27010040,"B27010040, Error",B27010041,"B27010041, Error",B27010042,"B27010042, Error",B27010043,"B27010043, Error",B27010044,"B27010044, Error",B27010045,"B27010045, Error",B27010046,"B27010046, Error",B27010047,"B27010047, Error",B27010048,"B27010048, Error",B27010049,"B27010049, Error",B27010050,"B27010050, Error",B27010051,"B27010051, Error",B27010052,"B27010052, Error",B27010053,"B27010053, Error",B27010054,"B27010054, Error",B27010055,"B27010055, Error",B27010056,"B27010056, Error",B27010057,"B27010057, Error",B27010058,"B27010058, Error",B27010059,"B27010059, Error",B27010060,"B27010060, Error",B27010061,"B27010061, Error",B27010062,"B27010062, Error",B27010063,"B27010063, Error",B27010064,"B27010064, Error",B27010065,"B27010065, Error",B27010066,"B27010066, Error"
04000US28,Mississippi,2874290,1597,718688,4123,621392,8141,249706,10842,42436,5178,1307,761,313934,11976,13769,3095,240,220,53887,5856,13042,3144,83,125,2088,843,6441,2227,716,564,31517,4572,43409,5636,569890,6049,424245,8411,290405,9254,50945,4306,2545,1084,71466,5340,7564,1542,1320,841,35932,4272,13958,2935,590,413,3434,1204,2455,971,51,115,15444,2480,109713,6567,1086106,5415,792667,8887,569946,10421,98070,6404,25687,2952,83428,5673,10719,1817,4817,1260,152119,7678,38060,4069,3621,956,5538,1332,32848,3589,7273,1713,3960,1285,60819,5000,141320,7087,499606,2546,183978,5546,8173,1460,1759,702,173346,5685,450,378,250,211,312676,5584,439,310,49270,3816,95840,5184,58296,3512,67,76,13499,1934,95265,4931,2952,911
04000US29,Missouri,6094536,1709,1445180,5021,1270474,11285,720265,13959,66754,5511,2566,1201,459766,14072,20444,3573,679,465,97193,7981,17141,3262,130,220,3050,1110,10235,2357,850,899,65787,6940,77513,8071,1267830,7870,1015084,10493,759022,10590,90428,5585,4815,1469,147068,7399,11443,1733,2308,880,77294,5067,31369,3943,1782,708,5327,1173,5829,1665,428,401,32559,3329,175452,9184,2279163,7402,1859216,13540,1422151,16500,174933,7758,49844,3911,183604,7978,15021,2320,13663,2049,219130,10267,50247,4337,10509,1475,8646,1720,49007,4057,10479,1913,6698,1326,83544,5909,200817,8922,1102363,3290,481142,9490,29978,3080,4161,1152,446235,9199,25,31,743,462,616688,9028,1102,449,146367,5889,206141,6329,59312,4812,68,118,33307,2788,170391,5651,4533,961
04000US30,Montana,1115486,1093,247664,1876,214099,4287,107467,5128,16161,2657,0,182,85239,4717,5232,1419,0,182,16747,2914,3464,1033,0,182,249,170,1574,922,29,37,11431,2670,16818,3066,227086,2968,178910,4796,111175,4661,23394,3004,660,449,40071,3490,2421,765,1189,968,15965,2602,4691,1591,297,291,1019,464,961,746,466,312,8531,1592,32211,3147,414097,2750,325402,4555,219098,5545,43465,3233,5270,943,50299,3108,4049,1224,3221,948,44483,3410,10267,1883,543,258,747,322,6018,1338,3944,1319,2228,1063,20736,2399,44212,3777,226639,1307,84223,3616,4526,977,638,358,78680,3689,35,60,344,386,141582,3840,162,192,24437,2004,57517,3486,10295,1660,67,112,6987,1155,42117,3304,834,380
04000US31,Nebraska,1951731,1292,503721,2705,444864,6037,271863,7825,34856,3946,768,544,128469,7751,8803,1837,105,116,40299,5018,9138,2173,206,205,991,727,1873,790,110,178,27981,4635,18558,2980,412693,4133,334577,5565,245870,6218,42008,3814,949,514,40208,3530,5071,1365,471,279,30202,3260,10274,1835,542,494,2099,653,1606,654,89,103,15592,2441,47914,3884,705490,3837,584564,7846,453881,8745,67191,4356,7307,1121,46877,3823,6658,1296,2650,843,70012,5324,19309,2355,1383,383,1577,526,14695,2276,3368,1302,1136,557,28544,2914,50914,4524,329827,2039,126082,4487,10849,1562,1682,534,113460,4281,45,67,46,57,201649,4879,620,489,31581,2747,85083,3808,17620,2188,0,174,8934,1165,57811,3141,2096,990
04000US32,Nevada,3154027,2015,722316,2687,594817,11176,315163,12423,37901,4811,891,548,228021,11072,12841,3070,0,232,70172,8989,11460,2674,48,81,1884,803,6056,2569,907,752,49817,7532,57327,7447,654953,4153,483434,8561,330801,9578,38842,3747,2083,1044,103546,7732,7110,1986,1052,656,59131,6229,17696,3148,805,764,3160,1188,3930,992,390,368,33150,5119,112388,7033,1226656,3211,930651,11255,677880,13157,94036,6942,17033,2518,121351,6630,12461,2393,7890,1720,133087,8775,35132,4475,4612,1391,1430,546,14491,2564,10311,2236,3624,1041,63487,5134,162918,7848,550102,1997,244149,7366,17218,2305,3144,1099,223353,7388,267,307,167,174,297950,7174,816,594,71633,4356,69180,4491,44051,4480,612,704,18368,2297,93290,4393,8003,2035
04000US33,New Hampshire,1386016,821,269074,2007,242567,4686,155378,6010,19051,3464,626,579,66138,5112,1374,639,0,200,17430,3461,3058,1242,56,100,1302,1488,1061,536,0,200,11953,2568,9077,2442,275341,2801,237432,4157,182001,5800,27875,4024,922,649,24976,2595,948,469,710,549,14623,2127,5677,1419,814,447,1204,480,682,425,331,490,5915,1361,23286,2709,560560,2638,486948,5249,382265,6568,48796,3441,10676,1564,38856,3683,3489,981,2866,950,40953,3702,12000,2339,3201,1027,2214,939,7318,1610,1291,518,964,507,13965,2075,32659,3790,281041,1636,108791,4974,11829,1780,1386,614,95262,4653,56,58,258,332,171657,4793,188,154,47565,3595,57621,3728,10135,1978,0,200,5870,1242,50278,3661,593,404
04000US34,New Jersey,9204137,1442,2125438,5339,1923453,11310,1171501,18591,105491,7739,4894,1747,634484,15931,7017,2637,66,113,114249,8841,22489,2751,334,280,5067,1423,4992,1847,124,153,81243,7796,87736,6903,1816402,6120,1513710,11180,1072590,14029,143048,8071,5469,1412,284684,9522,4754,1660,3165,1387,82500,5181,33638,3963,1407,771,7271,1620,1399,654,364,353,38421,3854,220192,9322,3650954,3949,3080291,16518,2378273,20850,272878,11427,45265,4142,371441,11325,8681,2336,3753,1134,235883,8998,78425,5796,14919,2348,5505,1309,40539,4191,5160,1557,3982,1243,87353,5474,334780,12288,1611343,1797,617641,12298,80228,5322,8263,1644,528705,11491,37,61,408,433,974547,12282,2840,1090,363559,9347,249915,7825,136606,6914,204,227,11576,1806,209847,7127,19155,2802
04000US35,New Mexico,2076456,2381,478110,3759,405203,7072,129047,8295,13557,3389,657,490,252203,9565,9739,2301,0,211,44515,5564,2919,1210,77,83,2031,1305,4138,1465,166,209,35184,5181,28392,4113,422767,5348,323614,7162,174005,7050,20499,3060,2353,1170,121750,7630,4025,1218,982,705,35932,3824,9191,2433,558,544,3113,947,2226,792,572,436,20272,2732,63221,5435,758409,4805,574545,9559,348581,10580,50035,4602,13762,2093,149889,7152,7478,1611,4800,1530,90551,5894,12452,2321,3226,1157,751,385,19719,2664,4315,1278,1639,633,48449,4199,93313,5883,417170,2135,143406,5803,9721,1568,1440,774,131887,5854,0,211,358,307,270090,5912,451,385,70633,4611,54352,3416,48747,4093,0,211,10799,1675,85108,4341,3674,1118
04000US36,New York,19372404,2491,4203173,8686,3685132,23825,1869029,27498,247547,14695,12495,3173,1538222,27545,17625,3432,214,204,398390,17672,62216,6870,1774,724,13947,2841,11222,2995,1439,773,307792,15358,119651,9151,4171921,9616,3542436,18165,2222024,20697,354909,10992,13144,2554,940865,19764,9144,1839,2350,965,293815,12644,103333,7186,4184,1428,20117,2718,6473,1829,1116,664,158592,9438,335670,13683,7458314,5806,6312708,19511,4304490,26554,500724,13931,84498,5688,1394828,20452,16411,2864,11757,2030,689289,17194,162691,9275,36383,3241,12736,1963,169346,7325,8639,1563,10815,1724,288679,11519,456317,14371,3538997,3820,1144358,18330,123876,6450,12697,2085,1006677,17536,438,280,670,352,2367962,19015,5812,1176,809094,15990,411205,10042,551829,12437,431,433,43398,3714,546193,12411,26677,2948
04000US37,North Carolina,10623208,4572,2462267,6584,2155607,16224,1025480,20592,140450,8930,7089,2355,901031,22286,80253,7423,1304,823,178052,10939,28748,4002,456,350,8450,2986,25813,3517,820,480,113765,8198,128608,10477,2219508,10269,1710952,16678,1166728,20543,208473,9773,7166,2128,273684,10342,46296,5049,8605,1991,169658,9221,58185,5944,2126,1035,11892,2242,15525,2330,1543,711,80387,6516,338898,11927,4065970,9411,3147165,19456,2326501,23844,420033,11449,66344,4843,252624,11802,56092,4858,25571,3997,420022,13029,89932,5690,17390,2292,8232,1437,75599,5737,29302,3252,6997,1261,192570,8607,498783,16302,1875463,4516,721308,14442,42838,3312,7219,1584,669110,14248,676,425,1465,757,1139821,14398,2256,938,272527,7647,324520,9226,130517,6430,703,506,44866,3744,364432,10697,14334,2146
